difficulty,proficiency_group,chain_position,chain_length,delta_seconds,is_intra_session,chain_final_outcome,chain_total_time
C,G4,1,2,154,true,RE,154
D,G4,1,3,275,true,Abandon,1223
D,G4,2,3,948,true,Abandon,1223
D,G4,1,4,207,true,Abandon,2725
D,G4,2,4,1597,true,Abandon,2725
D,G4,3,4,921,true,Abandon,2725
C,G4,1,2,3286,true,WA,3286
C,G4,1,2,695,true,AC,695
B,G3,1,3,571,true,RE,801
B,G3,2,3,230,true,RE,801
D,G4,1,2,163,true,WA,163
D,G4,1,2,231,true,Abandon,231
C,G4,1,5,355,true,Abandon,37045
C,G4,2,5,354,true,Abandon,37045
C,G4,3,5,33391,false,Abandon,37045
C,G4,4,5,2945,true,Abandon,37045
C,G4,1,3,874,true,AC,1617
C,G4,2,3,743,true,AC,1617
C,G4,1,2,160,true,AC,160
C,G4,1,4,194,true,AC,593
C,G4,2,4,248,true,AC,593
C,G4,3,4,151,true,AC,593
B,G4,1,4,91,true,AC,386
B,G4,2,4,247,true,AC,386
B,G4,3,4,48,true,AC,386
E,G4,1,2,883,true,Abandon,883
D,G4,1,4,181,true,Abandon,3293
D,G4,2,4,253,true,Abandon,3293
D,G4,3,4,2859,true,Abandon,3293
D,G4,1,3,614,true,Abandon,928
D,G4,2,3,314,true,Abandon,928
D,G4,1,3,369,true,Abandon,2374
D,G4,2,3,2005,true,Abandon,2374
D,G4,1,2,1232,true,Abandon,1232
C,G4,1,2,502,true,AC,502
D,G4,1,3,1911,true,Abandon,2305
D,G4,2,3,394,true,Abandon,2305
D,G4,1,4,2619,true,Abandon,3173
D,G4,2,4,303,true,Abandon,3173
D,G4,3,4,251,true,Abandon,3173
C,G4,1,2,360,true,Abandon,360
C,G4,1,2,485,true,Abandon,485
D,G4,1,3,443,true,CE,1618
D,G4,2,3,1175,true,CE,1618
A,G4,1,3,693,true,WA,923
A,G4,2,3,230,true,WA,923
D,G4,1,2,85694,false,Abandon,85694
D,G5,1,3,858,true,AC,1191
D,G5,2,3,333,true,AC,1191
E,G5,1,3,1464,true,AC,2215
E,G5,2,3,751,true,AC,2215
D,G5,1,2,27143,false,AC,27143
E,G5,1,2,128,true,Abandon,128
D,G5,1,2,1877,true,Abandon,1877
D,G5,1,2,2306,true,WA,2306
D,G5,1,2,808,true,WA,808
D,G5,1,2,569,true,RE,569
C,G5,1,3,198,true,WA,260
C,G5,2,3,62,true,WA,260
C,G5,1,2,187,true,AC,187
C,G5,1,2,263,true,WA,263
D,G5,1,2,1362,true,WA,1362
D,G5,1,2,554,true,WA,554
D,G5,1,3,747,true,WA,1149
D,G5,2,3,402,true,WA,1149
D,G5,1,3,15,true,AC,224
D,G5,2,3,209,true,AC,224
D,G3,1,6,723,true,Abandon,4757
D,G3,2,6,98,true,Abandon,4757
D,G3,3,6,3596,true,Abandon,4757
D,G3,4,6,74,true,Abandon,4757
D,G3,5,6,266,true,Abandon,4757
D,G3,1,2,375,true,Abandon,375
C,G5,1,2,17,true,AC,17
D,G3,1,2,263,true,Abandon,263
C,G3,1,3,2040,true,AC,8598
C,G3,2,3,6558,true,AC,8598
D,G4,1,2,357,true,AC,357
D,G4,1,4,120,true,Abandon,975
D,G4,2,4,540,true,Abandon,975
D,G4,3,4,315,true,Abandon,975
D,G4,1,3,5923,true,WA,6584
D,G4,2,3,661,true,WA,6584
C,G4,1,2,344,true,WA,344
C,G4,1,2,883,true,AC,883
D,G4,1,2,899,true,WA,899
C,G4,1,3,2411,true,AC,2888
C,G4,2,3,477,true,AC,2888
B,G3,1,3,35,true,Abandon,125
B,G3,2,3,90,true,Abandon,125
D,G5,1,2,655,true,WA,655
D,G5,1,2,87,true,WA,87
D,G5,1,6,2298,true,WA,342788
D,G5,2,6,277,true,WA,342788
D,G5,3,6,221,true,WA,342788
D,G5,4,6,251,true,WA,342788
D,G5,5,6,339741,false,WA,342788
C,G5,1,2,267,true,WA,267
D,G5,1,2,615,true,RE,615
D,G5,1,3,5479,true,WA,68427
D,G5,2,3,62948,false,WA,68427
D,G5,1,3,222,true,WA,329
D,G5,2,3,107,true,WA,329
D,G3,1,3,144,true,Abandon,1650
D,G3,2,3,1506,true,Abandon,1650
D,G5,1,4,329,true,WA,1530
D,G5,2,4,939,true,WA,1530
D,G5,3,4,262,true,WA,1530
D,G5,1,2,33,true,AC,33
D,G5,1,3,257,true,RE,585
D,G5,2,3,328,true,RE,585
D,G5,1,2,118,true,AC,118
C,G5,1,4,1345,true,AC,2667
C,G5,2,4,881,true,AC,2667
C,G5,3,4,441,true,AC,2667
D,G5,1,2,256,true,AC,256
D,G4,1,2,333,true,AC,333
E,G4,1,2,32,true,Abandon,32
C,G4,1,2,285,true,AC,285
D,G6,1,3,2996,true,RE,3159
D,G6,2,3,163,true,RE,3159
D,G6,1,4,1555,true,Abandon,2989
D,G6,2,4,1006,true,Abandon,2989
D,G6,3,4,428,true,Abandon,2989
C,G4,1,2,327,true,CE,327
C,G4,1,2,420,true,Abandon,420
D,G5,1,2,1722,true,WA,1722
D,G5,1,3,353,true,AC,697
D,G5,2,3,344,true,AC,697
C,G6,1,3,359,true,WA,341378
C,G6,2,3,341019,false,WA,341378
C,G6,1,2,649,true,RE,649
C,G6,1,2,889,true,AC,889
B,G6,1,2,726,true,WA,726
C,G6,1,3,574,true,AC,678
C,G6,2,3,104,true,AC,678
C,G6,1,2,2785,true,RE,2785
C,G6,1,2,8012685,false,WA,8012685
C,G6,1,2,25906161,false,AC,25906161
C,G6,1,2,845,true,AC,845
D,G6,1,3,121905,false,RE,125390
D,G6,2,3,3485,true,RE,125390
D,G6,1,2,307,true,WA,307
B,G6,1,5,24552180,false,AC,24562736
B,G6,2,5,1951,true,AC,24562736
B,G6,3,5,613,true,AC,24562736
B,G6,4,5,7992,true,AC,24562736
D,G3,1,3,234,true,Abandon,2542
D,G3,2,3,2308,true,Abandon,2542
D,G4,1,3,705,true,WA,1149
D,G4,2,3,444,true,WA,1149
C,G4,1,3,91,true,AC,279
C,G4,2,3,188,true,AC,279
D,G4,1,6,157,true,RE,1462
D,G4,2,6,88,true,RE,1462
D,G4,3,6,303,true,RE,1462
D,G4,4,6,605,true,RE,1462
D,G4,5,6,309,true,RE,1462
C,G3,1,2,4032,true,WA,4032
C,G3,1,2,575,true,WA,575
C,G3,1,3,598,true,AC,1258
C,G3,2,3,660,true,AC,1258
C,G3,1,6,971,true,AC,3194
C,G3,2,6,523,true,AC,3194
C,G3,3,6,395,true,AC,3194
C,G3,4,6,1007,true,AC,3194
C,G3,5,6,298,true,AC,3194
D,G6,1,2,160,true,WA,160
D,G6,1,2,401,true,WA,401
D,G6,1,4,2097,true,AC,2626
D,G6,2,4,324,true,AC,2626
D,G6,3,4,205,true,AC,2626
D,G4,1,2,184,true,AC,184
D,G3,1,2,1370,true,Abandon,1370
D,G4,1,4,45,true,WA,123
D,G4,2,4,38,true,WA,123
D,G4,3,4,40,true,WA,123
D,G4,1,2,1102,true,WA,1102
D,G4,1,2,55,true,Abandon,55
D,G4,1,4,621,true,WA,2704
D,G4,2,4,1039,true,WA,2704
D,G4,3,4,1044,true,WA,2704
C,G4,1,2,1295,true,Abandon,1295
C,G4,1,3,765,true,Abandon,1492
C,G4,2,3,727,true,Abandon,1492
C,G4,1,2,539,true,Abandon,539
C,G4,1,2,113,true,Abandon,113
D,G4,1,2,416,true,Abandon,416
C,G3,1,3,188,true,Abandon,2129
C,G3,2,3,1941,true,Abandon,2129
D,G5,1,2,503,true,AC,503
C,G4,1,3,62013,false,Abandon,62450
C,G4,2,3,437,true,Abandon,62450
B,G4,1,2,1757,true,WA,1757
C,G5,1,3,553,true,AC,602
C,G5,2,3,49,true,AC,602
C,G3,1,3,371,true,Abandon,642
C,G3,2,3,271,true,Abandon,642
B,G3,1,2,219,true,WA,219
D,G6,1,2,76,true,AC,76
E,G6,1,2,229,true,Abandon,229
E,G6,1,3,30,true,AC,1041
E,G6,2,3,1011,true,AC,1041
E,G6,1,2,318,true,Abandon,318
E,G6,1,4,668,true,WA,1713
E,G6,2,4,718,true,WA,1713
E,G6,3,4,327,true,WA,1713
B,G6,1,2,209,true,WA,209
E,G6,1,2,3032,true,AC,3032
D,G6,1,4,514,true,WA,4155
D,G6,2,4,3407,true,WA,4155
D,G6,3,4,234,true,WA,4155
D,G6,1,2,21,true,RE,21
D,G6,1,2,112,true,AC,112
D,G4,1,3,343,true,WA,815
D,G4,2,3,472,true,WA,815
D,G3,1,2,1243,true,WA,1243
C,G3,1,2,1505,true,RE,1505
D,G5,1,2,172,true,WA,172
D,G4,1,2,426,true,AC,426
C,G4,1,2,821,true,AC,821
D,G4,1,2,219,true,Abandon,219
D,G4,1,2,2062,true,AC,2062
D,G4,1,2,317,true,AC,317
C,G4,1,3,386,true,RE,1101
C,G4,2,3,715,true,RE,1101
C,G4,1,2,223,true,AC,223
C,G4,1,3,626,true,AC,784
C,G4,2,3,158,true,AC,784
D,G6,1,2,461,true,AC,461
F,G6,1,2,220,true,WA,220
F,G6,1,2,1080,true,AC,1080
C,G3,1,2,456,true,Abandon,456
E,G5,1,2,183,true,RE,183
E,G5,1,2,74147,false,AC,74147
E,G5,1,3,381,true,AC,414
E,G5,2,3,33,true,AC,414
D,G5,1,2,497,true,AC,497
D,G6,1,2,272,true,AC,272
D,G4,1,2,839,true,Abandon,839
C,G4,1,2,137,true,AC,137
D,G4,1,2,108,true,Abandon,108
D,G3,1,2,1238,true,Abandon,1238
D,G4,1,2,296,true,WA,296
C,G5,1,3,472,true,AC,525
C,G5,2,3,53,true,AC,525
D,G5,1,2,3651,true,WA,3651
D,G5,1,3,365,true,AC,453
D,G5,2,3,88,true,AC,453
D,G5,1,5,883,true,Abandon,902202
D,G5,2,5,2503,true,Abandon,902202
D,G5,3,5,185,true,Abandon,902202
D,G5,4,5,898631,false,Abandon,902202
C,G5,1,2,26,true,AC,26
C,G5,1,2,102,true,AC,102
C,G5,1,4,26587,false,AC,27467
C,G5,2,4,576,true,AC,27467
C,G5,3,4,304,true,AC,27467
D,G5,1,4,756,true,RE,1202
D,G5,2,4,388,true,RE,1202
D,G5,3,4,58,true,RE,1202
D,G5,1,3,442,true,AC,32100
D,G5,2,3,31658,false,AC,32100
C,G5,1,6,209,true,AC,4443
C,G5,2,6,963,true,AC,4443
C,G5,3,6,530,true,AC,4443
C,G5,4,6,562,true,AC,4443
C,G5,5,6,2179,true,AC,4443
C,G5,1,8,1092,true,AC,3119
C,G5,2,8,195,true,AC,3119
C,G5,3,8,236,true,AC,3119
C,G5,4,8,241,true,AC,3119
C,G5,5,8,870,true,AC,3119
C,G5,6,8,296,true,AC,3119
C,G5,7,8,189,true,AC,3119
C,G5,1,3,85,true,AC,205
C,G5,2,3,120,true,AC,205
C,G5,1,2,333,true,AC,333
C,G5,1,2,460,true,AC,460
B,G5,1,3,1822,true,AC,2218
B,G5,2,3,396,true,AC,2218
E,G6,1,4,3918,true,WA,10504
E,G6,2,4,6157,true,WA,10504
E,G6,3,4,429,true,WA,10504
E,G6,1,2,696,true,AC,696
E,G6,1,3,264,true,AC,8954340
E,G6,2,3,8954076,false,AC,8954340
E,G6,1,4,121,true,RE,2369
E,G6,2,4,2049,true,RE,2369
E,G6,3,4,199,true,RE,2369
D,G6,1,2,84513,false,AC,84513
D,G6,1,7,6324964,false,AC,6328202
D,G6,2,7,131,true,AC,6328202
D,G6,3,7,2233,true,AC,6328202
D,G6,4,7,18,true,AC,6328202
D,G6,5,7,87,true,AC,6328202
D,G6,6,7,769,true,AC,6328202
C,G6,1,4,109432427,false,AC,109435815
C,G6,2,4,282,true,AC,109435815
C,G6,3,4,3106,true,AC,109435815
C,G4,1,4,951,true,AC,2473
C,G4,2,4,1025,true,AC,2473
C,G4,3,4,497,true,AC,2473
D,G4,1,2,1009,true,WA,1009
D,G6,1,2,2027,true,AC,2027
D,G6,1,2,492,true,AC,492
E,G6,1,8,819,true,AC,14412
E,G6,2,8,302,true,AC,14412
E,G6,3,8,5306,true,AC,14412
E,G6,4,8,514,true,AC,14412
E,G6,5,8,4427,true,AC,14412
E,G6,6,8,2777,true,AC,14412
E,G6,7,8,267,true,AC,14412
E,G6,1,2,154,true,AC,154
D,G6,1,4,942,true,AC,1760
D,G6,2,4,428,true,AC,1760
D,G6,3,4,390,true,AC,1760
D,G6,1,2,913215,false,AC,913215
E,G6,1,3,67,true,RE,205
E,G6,2,3,138,true,RE,205
D,G6,1,5,167930,false,AC,168298
D,G6,2,5,34,true,AC,168298
D,G6,3,5,71,true,AC,168298
D,G6,4,5,263,true,AC,168298
D,G6,1,2,35,true,AC,35
D,G6,1,2,107,true,WA,107
C,G6,1,2,142,true,Abandon,142
B,G6,1,2,7,true,WA,7
E,G6,1,3,221,true,AC,476
E,G6,2,3,255,true,AC,476
E,G6,1,2,982,true,AC,982
C,G4,1,4,192,true,WA,2482
C,G4,2,4,1206,true,WA,2482
C,G4,3,4,1084,true,WA,2482
D,G4,1,4,179400,false,AC,180719
D,G4,2,4,229,true,AC,180719
D,G4,3,4,1090,true,AC,180719
D,G5,1,3,3686,true,Abandon,3806
D,G5,2,3,120,true,Abandon,3806
E,G5,1,3,135,true,AC,196
E,G5,2,3,61,true,AC,196
D,G5,1,2,218,true,AC,218
D,G5,1,3,2259,true,AC,6289
D,G5,2,3,4030,true,AC,6289
D,G5,1,2,68,true,AC,68
D,G5,1,6,3910,true,RE,8501
D,G5,2,6,630,true,RE,8501
D,G5,3,6,2352,true,RE,8501
D,G5,4,6,1076,true,RE,8501
D,G5,5,6,533,true,RE,8501
D,G5,1,2,7159599,false,AC,7159599
C,G5,1,2,308,true,AC,308
C,G5,1,2,1171,true,AC,1171
D,G5,1,2,192,true,AC,192
D,G5,1,2,600,true,AC,600
D,G4,1,4,176,true,CE,2021
D,G4,2,4,781,true,CE,2021
D,G4,3,4,1064,true,CE,2021
B,G2,1,2,285,true,AC,285
E,G6,1,3,956,true,AC,1932
E,G6,2,3,976,true,AC,1932
C,G6,1,4,511959,false,WA,513270
C,G6,2,4,507,true,WA,513270
C,G6,3,4,804,true,WA,513270
C,G6,1,2,321,true,RE,321
C,G6,1,3,373,true,AC,2347
C,G6,2,3,1974,true,AC,2347
C,G6,1,2,236,true,AC,236
E,G6,1,6,4052,true,AC,6009
E,G6,2,6,287,true,AC,6009
E,G6,3,6,384,true,AC,6009
E,G6,4,6,648,true,AC,6009
E,G6,5,6,638,true,AC,6009
E,G6,1,5,218,true,AC,1078
E,G6,2,5,203,true,AC,1078
E,G6,3,5,517,true,AC,1078
E,G6,4,5,140,true,AC,1078
D,G6,1,3,533,true,WA,667
D,G6,2,3,134,true,WA,667
C,G6,1,3,2641,true,WA,395140
C,G6,2,3,392499,false,WA,395140
B,G6,1,2,312,true,WA,312
C,G6,1,2,2062,true,AC,2062
C,G6,1,2,5700,true,RE,5700
C,G6,1,2,356,true,RE,356
D,G6,1,3,131,true,WA,289
D,G6,2,3,158,true,WA,289
D,G6,1,2,116,true,WA,116
D,G6,1,2,45,true,WA,45
B,G6,1,2,118,true,AC,118
C,G6,1,2,1106198,false,AC,1106198
D,G6,1,3,208,true,AC,518
D,G6,2,3,310,true,AC,518
F,G6,1,2,96,true,AC,96
D,G6,1,3,700,true,AC,779
D,G6,2,3,79,true,AC,779
C,G6,1,2,358,true,AC,358
D,G4,1,3,136,true,CE,295
D,G4,2,3,159,true,CE,295
D,G4,1,3,143,true,Abandon,520
D,G4,2,3,377,true,Abandon,520
D,G5,1,3,313,true,Abandon,563
D,G5,2,3,250,true,Abandon,563
E,G5,1,4,1052,true,WA,1117
E,G5,2,4,11,true,WA,1117
E,G5,3,4,54,true,WA,1117
C,G4,1,2,860,true,AC,860
D,G6,1,2,50,true,WA,50
C,G2,1,2,223,true,RE,223
D,G5,1,2,792,true,Abandon,792
C,G2,1,4,639,true,CE,1381
C,G2,2,4,137,true,CE,1381
C,G2,3,4,605,true,CE,1381
D,G5,1,2,75,true,Abandon,75
D,G5,1,3,594,true,Abandon,1557
D,G5,2,3,963,true,Abandon,1557
D,G5,1,4,569,true,RE,1671
D,G5,2,4,579,true,RE,1671
D,G5,3,4,523,true,RE,1671
D,G5,1,3,292,true,WA,4752
D,G5,2,3,4460,true,WA,4752
D,G5,1,2,192,true,AC,192
D,G5,1,3,70237,false,AC,70399
D,G5,2,3,162,true,AC,70399
C,G5,1,3,317,true,AC,595
C,G5,2,3,278,true,AC,595
D,G5,1,2,342,true,Abandon,342
C,G5,1,2,6669436,false,AC,6669436
E,G5,1,2,282,true,AC,282
D,G5,1,2,113,true,RE,113
D,G5,1,3,58,true,AC,1146
D,G5,2,3,1088,true,AC,1146
D,G5,1,2,3595,true,AC,3595
D,G5,1,3,706,true,Abandon,1359
D,G5,2,3,653,true,Abandon,1359
C,G5,1,2,167,true,AC,167
D,G5,1,2,133,true,AC,133
C,G5,1,2,58,true,Abandon,58
E,G6,1,2,334,true,RE,334
E,G6,1,2,294,true,AC,294
C,G2,1,3,117,true,Abandon,462
C,G2,2,3,345,true,Abandon,462
D,G5,1,2,217,true,RE,217
D,G5,1,4,326,true,AC,1406
D,G5,2,4,750,true,AC,1406
D,G5,3,4,330,true,AC,1406
D,G5,1,2,598,true,Abandon,598
D,G5,1,2,451,true,RE,451
D,G5,1,5,286,true,RE,895
D,G5,2,5,180,true,RE,895
D,G5,3,5,193,true,RE,895
D,G5,4,5,236,true,RE,895
D,G5,1,3,284,true,RE,712
D,G5,2,3,428,true,RE,712
D,G5,1,3,308,true,WA,878
D,G5,2,3,570,true,WA,878
C,G5,1,4,1507,true,Abandon,2283034
C,G5,2,4,728,true,Abandon,2283034
C,G5,3,4,2280799,false,Abandon,2283034
D,G5,1,2,319,true,WA,319
D,G5,1,2,196,true,AC,196
D,G3,1,3,190,true,RE,911
D,G3,2,3,721,true,RE,911
C,G4,1,2,1107,true,AC,1107
D,G6,1,4,193,true,Abandon,1659
D,G6,2,4,918,true,Abandon,1659
D,G6,3,4,548,true,Abandon,1659
D,G6,1,2,875,true,WA,875
C,G3,1,2,339,true,Abandon,339
D,G4,1,2,928,true,AC,928
D,G4,1,2,398,true,WA,398
B,G3,1,3,13968,true,AC,14444
B,G3,2,3,476,true,AC,14444
F,G6,1,6,369,true,RE,1427
F,G6,2,6,134,true,RE,1427
F,G6,3,6,119,true,RE,1427
F,G6,4,6,549,true,RE,1427
F,G6,5,6,256,true,RE,1427
F,G6,1,3,121,true,CE,877
F,G6,2,3,756,true,CE,877
F,G6,1,2,198,true,CE,198
F,G6,1,5,347,true,WA,1182
F,G6,2,5,103,true,WA,1182
F,G6,3,5,241,true,WA,1182
F,G6,4,5,491,true,WA,1182
F,G6,1,2,48,true,AC,48
F,G6,1,2,409,true,WA,409
E,G6,1,9,54,true,AC,1387
E,G6,2,9,239,true,AC,1387
E,G6,3,9,185,true,AC,1387
E,G6,4,9,54,true,AC,1387
E,G6,5,9,170,true,AC,1387
E,G6,6,9,168,true,AC,1387
E,G6,7,9,105,true,AC,1387
E,G6,8,9,412,true,AC,1387
B,G6,1,2,152,true,AC,152
D,G5,1,4,258,true,WA,713
D,G5,2,4,267,true,WA,713
D,G5,3,4,188,true,WA,713
D,G5,1,2,589,true,WA,589
D,G5,1,4,310,true,AC,5026
D,G5,2,4,4621,true,AC,5026
D,G5,3,4,95,true,AC,5026
C,G5,1,2,70,true,AC,70
D,G4,1,3,184,true,WA,261
D,G4,2,3,77,true,WA,261
C,G4,1,4,647,true,Abandon,1696
C,G4,2,4,308,true,Abandon,1696
C,G4,3,4,741,true,Abandon,1696
F,G5,1,3,90,true,Abandon,384
F,G5,2,3,294,true,Abandon,384
D,G4,1,2,3585,true,Abandon,3585
C,G4,1,2,1379,true,AC,1379
D,G4,1,2,303,true,WA,303
D,G4,1,2,272,true,AC,272
E,G6,1,3,44,true,WA,111
E,G6,2,3,67,true,WA,111
F,G6,1,4,8824,true,CE,9552
F,G6,2,4,402,true,CE,9552
F,G6,3,4,326,true,CE,9552
C,G6,1,2,427,true,WA,427
C,G6,1,2,487,true,CE,487
D,G6,1,3,314,true,CE,500
D,G6,2,3,186,true,CE,500
D,G6,1,3,501,true,WA,794
D,G6,2,3,293,true,WA,794
D,G6,1,5,146,true,CE,688
D,G6,2,5,236,true,CE,688
D,G6,3,5,225,true,CE,688
D,G6,4,5,81,true,CE,688
F,G6,1,5,4990,true,Abandon,5578
F,G6,2,5,127,true,Abandon,5578
F,G6,3,5,423,true,Abandon,5578
F,G6,4,5,38,true,Abandon,5578
B,G6,1,3,348,true,RE,725
B,G6,2,3,377,true,RE,725
C,G5,1,2,36536,false,AC,36536
C,G5,1,2,255,true,AC,255
D,G3,1,2,112,true,Abandon,112
C,G3,1,2,558,true,WA,558
E,G5,1,2,788,true,Abandon,788
B,G4,1,2,282,true,Abandon,282
C,G4,1,4,616,true,Abandon,1161
C,G4,2,4,228,true,Abandon,1161
C,G4,3,4,317,true,Abandon,1161
D,G4,1,4,1240,true,AC,2992
D,G4,2,4,793,true,AC,2992
D,G4,3,4,959,true,AC,2992
D,G6,1,3,380,true,AC,32791
D,G6,2,3,32411,false,AC,32791
D,G4,1,2,1770,true,WA,1770
D,G4,1,2,506183,false,WA,506183
C,G6,1,4,518,true,WA,1191
C,G6,2,4,258,true,WA,1191
C,G6,3,4,415,true,WA,1191
C,G6,1,2,127,true,AC,127
F,G6,1,2,517,true,RE,517
F,G6,1,2,272,true,AC,272
C,G6,1,3,381,true,WA,1739
C,G6,2,3,1358,true,WA,1739
C,G6,1,2,640,true,RE,640
C,G6,1,2,160813,false,AC,160813
C,G6,1,3,316,true,WA,682
C,G6,2,3,366,true,WA,682
C,G6,1,3,225,true,AC,457
C,G6,2,3,232,true,AC,457
D,G6,1,3,294,true,AC,411
D,G6,2,3,117,true,AC,411
D,G6,1,2,210,true,AC,210
D,G6,1,2,395,true,Abandon,395
D,G6,1,9,69,true,CE,1120
D,G6,2,9,108,true,CE,1120
D,G6,3,9,561,true,CE,1120
D,G6,4,9,62,true,CE,1120
D,G6,5,9,38,true,CE,1120
D,G6,6,9,98,true,CE,1120
D,G6,7,9,145,true,CE,1120
D,G6,8,9,39,true,CE,1120
D,G6,1,2,122,true,WA,122
D,G6,1,2,80,true,WA,80
D,G6,1,2,64,true,Abandon,64
E,G6,1,5,179,true,AC,1178
E,G6,2,5,310,true,AC,1178
E,G6,3,5,123,true,AC,1178
E,G6,4,5,566,true,AC,1178
E,G6,1,2,1206,true,AC,1206
C,G6,1,2,93,true,WA,93
C,G6,1,2,75,true,WA,75
D,G6,1,2,9573261,false,WA,9573261
E,G6,1,2,433,true,AC,433
E,G6,1,2,112,true,CE,112
F,G6,1,2,231,true,RE,231
F,G6,1,8,289,true,AC,6620
F,G6,2,8,238,true,AC,6620
F,G6,3,8,218,true,AC,6620
F,G6,4,8,1480,true,AC,6620
F,G6,5,8,2911,true,AC,6620
F,G6,6,8,804,true,AC,6620
F,G6,7,8,680,true,AC,6620
F,G6,1,6,379,true,AC,2395
F,G6,2,6,260,true,AC,2395
F,G6,3,6,1149,true,AC,2395
F,G6,4,6,323,true,AC,2395
F,G6,5,6,284,true,AC,2395
E,G6,1,2,2743,true,CE,2743
D,G6,1,2,88,true,WA,88
D,G6,1,2,348,true,AC,348
E,G6,1,7,43686,false,WA,47612
E,G6,2,7,337,true,WA,47612
E,G6,3,7,209,true,WA,47612
E,G6,4,7,131,true,WA,47612
E,G6,5,7,3135,true,WA,47612
E,G6,6,7,114,true,WA,47612
E,G6,1,3,999,true,WA,1410
E,G6,2,3,411,true,WA,1410
E,G6,1,2,205,true,AC,205
E,G6,1,3,113,true,AC,276
E,G6,2,3,163,true,AC,276
F,G6,1,3,917,true,CE,1018
F,G6,2,3,101,true,CE,1018
F,G6,1,3,79974,false,CE,80263
F,G6,2,3,289,true,CE,80263
F,G6,1,5,921,true,AC,1934
F,G6,2,5,553,true,AC,1934
F,G6,3,5,197,true,AC,1934
F,G6,4,5,263,true,AC,1934
E,G6,1,2,71,true,AC,71
E,G6,1,8,464,true,WA,2700
E,G6,2,8,760,true,WA,2700
E,G6,3,8,443,true,WA,2700
E,G6,4,8,267,true,WA,2700
E,G6,5,8,487,true,WA,2700
E,G6,6,8,47,true,WA,2700
E,G6,7,8,232,true,WA,2700
E,G6,1,2,387,true,AC,387
F,G6,1,8,315,true,RE,2146
F,G6,2,8,328,true,RE,2146
F,G6,3,8,186,true,RE,2146
F,G6,4,8,65,true,RE,2146
F,G6,5,8,371,true,RE,2146
F,G6,6,8,179,true,RE,2146
F,G6,7,8,702,true,RE,2146
F,G6,1,2,129,true,AC,129
E,G6,1,2,271,true,WA,271
E,G6,1,2,418,true,WA,418
E,G6,1,6,386,true,WA,170321
E,G6,2,6,102451,false,WA,170321
E,G6,3,6,882,true,WA,170321
E,G6,4,6,313,true,WA,170321
E,G6,5,6,66289,false,WA,170321
E,G6,1,4,701,true,WA,3060
E,G6,2,4,2025,true,WA,3060
E,G6,3,4,334,true,WA,3060
E,G6,1,4,261,true,WA,870
E,G6,2,4,81,true,WA,870
