difficulty,proficiency_group,first_error_type,n_pairs,avg_attempts_to_ac,resolution_rate,abandon_rate
E,G3,CE,99,,0.0,100.0
E,G3,Other,1,,0.0,100.0
E,G3,RE,368,,0.0,100.0
E,G3,TLE,578,,0.0,100.0
E,G3,WA,801,,0.0,100.0
E,G4,CE,244,,0.0,100.0
E,G4,Other,3,,0.0,100.0
E,G4,RE,1016,,0.0,100.0
E,G4,TLE,1952,,0.0,100.0
E,G4,WA,3027,,0.0,100.0
E,G5,CE,934,4.5,65.2,34.8
E,G5,Other,10,2.86,70.0,30.0
E,G5,RE,4291,4.83,57.89,42.11
E,G5,TLE,6350,4.11,53.97,46.03
E,G5,WA,14059,3.94,59.18,40.82
E,G6,CE,2592,3.8,84.07,15.93
E,G6,Other,50,3.91,92.0,8.0
E,G6,RE,10254,4.36,82.65,17.35
E,G6,TLE,13369,4.17,81.42,18.58
E,G6,WA,45454,3.89,82.92,17.08
F,G1,CE,8,,0.0,100.0
F,G1,RE,8,,0.0,100.0
F,G1,TLE,7,,0.0,100.0
F,G1,WA,17,,0.0,100.0
F,G2,CE,22,,0.0,100.0
F,G2,RE,29,,0.0,100.0
F,G2,TLE,47,,0.0,100.0
F,G2,WA,65,,0.0,100.0
F,G3,CE,31,,0.0,100.0
F,G3,RE,69,,0.0,100.0
F,G3,TLE,111,,0.0,100.0
F,G3,WA,233,,0.0,100.0
F,G4,CE,65,,0.0,100.0
F,G4,Other,1,,0.0,100.0
F,G4,RE,207,,0.0,100.0
F,G4,TLE,328,,0.0,100.0
F,G4,WA,777,,0.0,100.0
F,G5,CE,153,,0.0,100.0
F,G5,Other,3,,0.0,100.0
F,G5,RE,536,,0.0,100.0
F,G5,TLE,806,,0.0,100.0
F,G5,WA,2195,,0.0,100.0
F,G6,CE,1824,4.22,78.67,21.33
F,G6,Other,30,3.5,86.67,13.33
F,G6,RE,6563,4.27,79.09,20.91
F,G6,TLE,6946,4.15,75.18,24.82
F,G6,WA,28718,4.03,76.63,23.37
