difficulty,proficiency_group,language,n_submissions,pct
C,G1,C++,1225,54.25
C,G1,Python,395,17.49
C,G1,C,340,15.06
C,G1,Java,157,6.95
C,G1,Other,85,3.76
C,G1,C#,23,1.02
C,G1,Ruby,15,0.66
C,G1,Go,15,0.66
C,G1,Rust,3,0.13
C,G2,C++,9247,45.46
C,G2,Python,4923,24.2
C,G2,C,2488,12.23
C,G2,Java,1759,8.65
C,G2,Other,856,4.21
C,G2,C#,514,2.53
C,G2,Ruby,273,1.34
C,G2,Go,220,1.08
C,G2,Rust,60,0.29
C,G3,C++,89093,42.83
C,G3,Python,68543,32.95
C,G3,C,14538,6.99
C,G3,Java,14281,6.87
C,G3,Other,8744,4.2
C,G3,Ruby,5373,2.58
C,G3,C#,3858,1.85
C,G3,Go,2538,1.22
C,G3,Rust,1046,0.5
C,G4,C++,268163,47.72
C,G4,Python,186878,33.25
C,G4,Java,31110,5.54
C,G4,C,20781,3.7
C,G4,Other,19371,3.45
C,G4,C#,12857,2.29
C,G4,Ruby,12191,2.17
C,G4,Go,6611,1.18
C,G4,Rust,4001,0.71
C,G5,C++,305107,49.19
C,G5,Python,226502,36.52
C,G5,Java,25115,4.05
C,G5,Other,17271,2.78
C,G5,C,12924,2.08
C,G5,Ruby,12257,1.98
C,G5,C#,9417,1.52
C,G5,Rust,5920,0.95
C,G5,Go,5759,0.93
C,G6,C++,518991,63.03
C,G6,Python,191302,23.23
C,G6,Java,30481,3.7
C,G6,Other,25717,3.12
C,G6,C,15209,1.85
C,G6,C#,13350,1.62
C,G6,Rust,11262,1.37
C,G6,Ruby,10970,1.33
C,G6,Go,6170,0.75
D,G1,C++,215,47.05
D,G1,Python,110,24.07
D,G1,C,67,14.66
D,G1,Other,31,6.78
D,G1,Java,25,5.47
D,G1,C#,7,1.53
D,G1,Go,1,0.22
D,G1,Ruby,1,0.22
D,G2,C++,2007,49.3
D,G2,Python,1042,25.6
D,G2,C,380,9.33
D,G2,Java,377,9.26
D,G2,Other,124,3.05
D,G2,C#,91,2.24
D,G2,Ruby,25,0.61
D,G2,Go,24,0.59
D,G2,Rust,1,0.02
D,G3,C++,12285,41.06
D,G3,Python,10811,36.14
D,G3,Java,1995,6.67
D,G3,C,1530,5.11
D,G3,Other,1390,4.65
D,G3,C#,843,2.82
D,G3,Ruby,662,2.21
D,G3,Go,287,0.96
D,G3,Rust,114,0.38
D,G4,C++,136913,50.57
D,G4,Python,84588,31.24
D,G4,Java,15306,5.65
D,G4,Other,8450,3.12
D,G4,C,8049,2.97
D,G4,C#,6438,2.38
D,G4,Ruby,5978,2.21
D,G4,Go,3148,1.16
D,G4,Rust,1867,0.69
D,G5,C++,202109,49.05
D,G5,Python,152327,36.97
D,G5,Java,15457,3.75
D,G5,Other,12117,2.94
D,G5,Ruby,8169,1.98
D,G5,C,7413,1.8
D,G5,C#,6560,1.59
D,G5,Rust,4381,1.06
D,G5,Go,3510,0.85
D,G6,C++,539066,63.5
D,G6,Python,200483,23.62
D,G6,Java,29859,3.52
D,G6,Other,24266,2.86
D,G6,C#,14215,1.67
D,G6,Rust,13314,1.57
D,G6,Ruby,10943,1.29
D,G6,C,10023,1.18
D,G6,Go,6687,0.79
E,G1,C++,79,50.0
E,G1,Python,30,18.99
E,G1,C,29,18.35
E,G1,Other,11,6.96
E,G1,Java,7,4.43
E,G1,C#,1,0.63
E,G1,Ruby,1,0.63
E,G2,C++,529,56.64
E,G2,Python,246,26.34
E,G2,Java,66,7.07
E,G2,C,39,4.18
E,G2,C#,23,2.46
E,G2,Other,23,2.46
E,G2,Go,4,0.43
E,G2,Ruby,4,0.43
E,G3,C++,2162,50.41
E,G3,Python,1410,32.87
E,G3,Java,278,6.48
E,G3,C,178,4.15
E,G3,Other,143,3.33
E,G3,C#,53,1.24
E,G3,Ruby,32,0.75
E,G3,Go,29,0.68
E,G3,Rust,4,0.09
E,G4,C++,6927,47.91
E,G4,Python,4952,34.25
E,G4,Java,850,5.88
E,G4,Other,487,3.37
E,G4,C,441,3.05
E,G4,C#,307,2.12
E,G4,Ruby,287,1.99
E,G4,Go,123,0.85
E,G4,Rust,84,0.58
E,G5,C++,61340,55.57
E,G5,Python,35072,31.77
E,G5,Java,3901,3.53
E,G5,Other,2617,2.37
E,G5,Ruby,2118,1.92
E,G5,C,1690,1.53
E,G5,C#,1607,1.46
E,G5,Rust,1185,1.07
E,G5,Go,852,0.77
E,G6,C++,279823,67.31
E,G6,Python,88768,21.35
E,G6,Java,13428,3.23
E,G6,Other,9872,2.37
E,G6,Rust,7381,1.78
E,G6,C#,6559,1.58
E,G6,Ruby,4089,0.98
E,G6,C,3080,0.74
E,G6,Go,2716,0.65
F,G1,C++,31,45.59
F,G1,C,13,19.12
F,G1,Python,9,13.24
F,G1,Other,5,7.35
F,G1,Java,4,5.88
F,G1,Ruby,4,5.88
F,G1,C#,2,2.94
F,G2,C++,162,47.09
F,G2,Python,82,23.84
F,G2,Java,55,15.99
F,G2,C,18,5.23
F,G2,Other,14,4.07
F,G2,C#,8,2.33
F,G2,Go,4,1.16
F,G2,Ruby,1,0.29
F,G3,C++,455,49.4
F,G3,Python,312,33.88
F,G3,Java,39,4.23
F,G3,Other,28,3.04
F,G3,C,27,2.93
F,G3,Ruby,24,2.61
F,G3,C#,20,2.17
F,G3,Go,14,1.52
F,G3,Rust,2,0.22
F,G4,C++,1637,53.32
F,G4,Python,878,28.6
F,G4,Java,226,7.36
F,G4,Ruby,90,2.93
F,G4,Other,80,2.61
F,G4,C#,71,2.31
F,G4,C,63,2.05
F,G4,Go,19,0.62
F,G4,Rust,6,0.2
F,G5,C++,5395,59.05
F,G5,Python,2521,27.59
F,G5,Java,388,4.25
F,G5,C,196,2.15
F,G5,Other,183,2.0
F,G5,C#,174,1.9
F,G5,Ruby,132,1.44
F,G5,Rust,82,0.9
F,G5,Go,65,0.71
F,G6,C++,170146,72.13
F,G6,Python,39160,16.6
F,G6,Java,6877,2.92
F,G6,Other,6120,2.59
F,G6,Rust,4853,2.06
F,G6,C#,3770,1.6
F,G6,Ruby,1855,0.79
F,G6,C,1729,0.73
F,G6,Go,1365,0.58
