difficulty,proficiency_group,first_error,sequence,sequence_length,resolved,n_pairs,proportion_pct
A,G1,CE,CE→WA→CE→WA→WA→AC,6,true,11,0.24
A,G1,CE,CE→CE→CE→CE→CE,5,false,10,0.22
A,G1,CE,CE→RE,2,false,10,0.22
A,G1,CE,CE→CE→RE→AC,4,true,9,0.19
A,G1,CE,CE→WA→CE→CE→AC,5,true,9,0.19
A,G1,CE,CE→CE→WA→WA,4,false,9,0.19
A,G1,CE,CE→WA→WA→WA→WA→WA→AC,7,true,9,0.19
A,G1,CE,CE→CE→CE→WA→CE→AC,6,true,9,0.19
A,G1,CE,CE→CE→CE→CE→CE→WA→AC,7,true,8,0.17
A,G1,CE,CE→CE→CE→WA→WA→WA→WA→AC,8,true,7,0.15
A,G1,CE,CE→RE→WA→AC,4,true,7,0.15
A,G1,CE,CE→WA→WA→WA→WA,5,false,7,0.15
A,G1,CE,CE→WA→WA→WA→WA→WA→WA→AC,8,true,7,0.15
A,G1,CE,CE→CE→WA→WA→WA→WA→AC,7,true,6,0.13
A,G1,CE,CE→CE→CE→CE→WA→WA→WA→AC,8,true,6,0.13
A,G1,CE,CE→CE→RE,3,false,5,0.11
A,G1,CE,CE→CE→WA→WA→WA→WA,6,false,5,0.11
A,G1,CE,CE→CE→CE→CE→CE→RE→AC,7,true,5,0.11
A,G1,CE,CE→CE→WA→WA→WA,5,false,5,0.11
A,G1,CE,CE→CE→CE→RE→AC,5,true,5,0.11
A,G1,CE,CE→WA→CE→WA→CE→AC,6,true,5,0.11
A,G1,CE,CE→WA→CE→CE→CE→AC,6,true,5,0.11
A,G1,CE,CE→WA→WA→WA→WA→WA→WA→WA→WA→AC,10,true,5,0.11
A,G1,CE,CE→WA→WA→CE→WA→AC,6,true,4,0.09
A,G1,CE,CE→WA→CE→CE→CE→CE→AC,7,true,4,0.09
A,G1,CE,CE→CE→CE→RE→RE→AC,6,true,4,0.09
A,G1,CE,CE→WA→CE→CE,4,false,4,0.09
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→AC,12,true,4,0.09
A,G1,CE,CE→WA→CE→WA,4,false,4,0.09
A,G1,CE,CE→RE→CE→AC,4,true,4,0.09
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE,8,false,4,0.09
A,G1,CE,CE→CE→WA→WA→CE→AC,6,true,4,0.09
A,G1,CE,CE→WA→WA→CE→WA,5,false,4,0.09
A,G1,CE,CE→WA→WA→WA→WA→WA→CE→AC,8,true,4,0.09
A,G1,CE,CE→CE→CE→WA→WA→WA→AC,7,true,4,0.09
A,G1,CE,CE→RE→RE→WA→AC,5,true,4,0.09
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→CE,10,false,3,0.06
A,G1,CE,CE→CE→WA→CE→WA→WA→AC,7,true,3,0.06
A,G1,CE,CE→WA→WA→WA→CE→AC,6,true,3,0.06
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→AC,11,true,3,0.06
A,G1,CE,CE→RE→RE,3,false,3,0.06
A,G1,CE,CE→CE→CE→CE→RE→AC,6,true,3,0.06
A,G1,CE,CE→WA→CE→WA→WA→WA→WA→AC,8,true,3,0.06
A,G1,CE,CE→CE→WA→CE→WA→WA→WA→AC,8,true,3,0.06
A,G1,CE,CE→CE→CE→CE→WA→WA→WA→WA→AC,9,true,3,0.06
A,G1,CE,CE→WA→CE→WA→WA→WA→AC,7,true,3,0.06
A,G1,CE,CE→CE→CE→WA,4,false,3,0.06
A,G1,CE,CE→WA→WA→WA→WA→WA→WA→WA→AC,9,true,3,0.06
A,G1,CE,CE→WA→CE,3,false,3,0.06
A,G1,CE,CE→CE→CE→CE→CE→CE,6,false,3,0.06
A,G1,CE,CE→WA→CE→WA→WA→CE→AC,7,true,3,0.06
A,G1,CE,CE→CE→RE→WA→AC,5,true,3,0.06
A,G1,CE,CE→CE→CE→CE→CE→CE→WA→WA→AC,9,true,3,0.06
A,G1,CE,CE→CE→WA→CE→WA→AC,6,true,3,0.06
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→WA→AC,9,true,3,0.06
A,G1,CE,CE→CE→CE→CE→CE→WA→WA→AC,8,true,3,0.06
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→WA→AC,11,true,2,0.04
A,G1,CE,CE→CE→CE→CE→WA→CE→CE→WA→AC,9,true,2,0.04
A,G1,CE,CE→CE→RE→RE→WA→AC,6,true,2,0.04
A,G1,CE,CE→RE→CE→WA→WA→AC,6,true,2,0.04
A,G1,CE,CE→WA→WA→WA→WA→CE→AC,7,true,2,0.04
A,G1,CE,CE→CE→WA→WA→WA→CE,6,false,2,0.04
A,G1,CE,CE→WA→WA→WA→WA→WA,6,false,2,0.04
A,G1,CE,CE→CE→WA→CE→CE→AC,6,true,2,0.04
A,G1,CE,CE→CE→RE→CE→AC,5,true,2,0.04
A,G1,CE,CE→CE→CE→WA→WA→WA→WA,7,false,2,0.04
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE,9,false,2,0.04
A,G1,CE,CE→CE→CE→WA→WA→WA,6,false,2,0.04
A,G1,CE,CE→CE→CE→WA→WA→WA→WA→WA→WA→WA,10,false,2,0.04
A,G1,CE,CE→CE→RE→RE→RE,5,false,2,0.04
A,G1,CE,CE→CE→CE→CE→CE→WA→CE→WA→WA→AC,10,true,2,0.04
A,G1,CE,CE→WA→WA→WA→WA→CE→WA,7,false,2,0.04
A,G1,CE,CE→CE→CE→CE→WA→WA→WA→WA→WA→AC,10,true,2,0.04
A,G1,CE,CE→CE→CE→CE→CE→WA→WA→CE→AC,9,true,2,0.04
A,G1,CE,CE→CE→WA→WA→WA→WA→WA→AC,8,true,2,0.04
A,G1,CE,CE→CE→CE→CE→WA→WA→CE→AC,8,true,2,0.04
A,G1,CE,CE→CE→TLE→AC,4,true,2,0.04
A,G1,CE,CE→WA→WA→CE→CE→AC,6,true,2,0.04
A,G1,CE,CE→WA→WA→WA→WA→WA→WA→CE→AC,9,true,2,0.04
A,G1,CE,CE→CE→WA→CE→CE→CE→AC,7,true,2,0.04
A,G1,CE,CE→CE→CE→WA→WA→CE→AC,7,true,2,0.04
A,G1,CE,CE→CE→RE→RE→RE→AC,6,true,2,0.04
A,G1,CE,CE→CE→RE→RE→TLE→AC,6,true,2,0.04
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→WA→WA,10,false,2,0.04
A,G1,CE,CE→CE→CE→CE→CE→CE→CE,7,false,2,0.04
A,G1,CE,CE→CE→WA→WA→WA→WA→WA→WA→WA→AC,10,true,2,0.04
A,G1,CE,CE→WA→CE→CE→WA→WA,6,false,2,0.04
A,G1,CE,CE→CE→WA→WA→CE→WA→AC,7,true,2,0.04
A,G1,CE,CE→CE→WA→RE→WA→AC,6,true,2,0.04
A,G1,CE,CE→WA→CE→CE→WA→AC,6,true,2,0.04
A,G1,CE,CE→CE→CE→TLE→AC,5,true,2,0.04
A,G1,CE,CE→CE→CE→CE→CE→WA→WA,7,false,2,0.04
A,G1,CE,CE→CE→CE→CE→CE→CE→WA→AC,8,true,2,0.04
A,G1,CE,CE→CE→CE→CE→WA→CE→WA→AC,8,true,2,0.04
A,G1,CE,CE→WA→RE→AC,4,true,2,0.04
A,G1,CE,CE→CE→CE→CE→WA,5,false,2,0.04
A,G1,CE,CE→WA→WA→RE→AC,5,true,2,0.04
A,G1,CE,CE→CE→CE→WA→CE→CE→AC,7,true,2,0.04
A,G1,CE,CE→RE→CE→CE→AC,5,true,2,0.04
A,G1,CE,CE→RE→RE→WA→WA→AC,6,true,2,0.04
A,G1,CE,CE→CE→RE→RE→AC,5,true,2,0.04
A,G1,CE,CE→CE→CE→RE→WA→AC,6,true,2,0.04
A,G1,CE,CE→WA→CE→CE→WA→WA→AC,7,true,2,0.04
A,G1,CE,CE→WA→WA→WA→WA→WA→WA→WA,8,false,2,0.04
A,G1,CE,CE→CE→CE→RE→CE→AC,6,true,2,0.04
A,G1,CE,CE→CE→CE→CE→WA→CE→AC,7,true,2,0.04
A,G1,CE,CE→CE→CE→CE→CE→CE→RE→WA→WA→WA→CE→WA,12,false,1,0.02
A,G1,CE,CE→RE→CE→CE→CE,5,false,1,0.02
A,G1,CE,CE→WA→WA→WA→CE→WA→WA→WA→AC,9,true,1,0.02
A,G1,CE,CE→CE→WA→WA→WA→WA→CE→WA→AC,9,true,1,0.02
A,G1,CE,CE→WA→WA→WA→WA→CE→WA→AC,8,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→WA,9,false,1,0.02
A,G1,CE,CE→WA→CE→WA→WA→WA→WA→CE→AC,9,true,1,0.02
A,G1,CE,CE→CE→WA→WA→WA→CE→CE→CE→CE→CE→AC,11,true,1,0.02
A,G1,CE,CE→CE→WA→CE→CE→WA→WA→AC,8,true,1,0.02
A,G1,CE,CE→WA→WA→CE→WA→WA→WA→AC,8,true,1,0.02
A,G1,CE,CE→CE→WA→WA→WA→CE→CE→CE→AC,9,true,1,0.02
A,G1,CE,CE→CE→CE→WA→WA→WA→WA→WA→WA→AC,10,true,1,0.02
A,G1,CE,CE→RE→WA→WA→WA→CE→CE→AC,8,true,1,0.02
A,G1,CE,CE→WA→WA→TLE→WA→WA→WA→WA→TLE→CE→TLE→TLE→TLE→AC,14,true,1,0.02
A,G1,CE,CE→WA→CE→CE→CE→WA,6,false,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→WA→WA→AC,12,true,1,0.02
A,G1,CE,CE→WA→CE→CE→WA→CE→AC,7,true,1,0.02
A,G1,CE,CE→WA→WA→WA→WA→WA→WA→CE→CE→AC,10,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→RE→CE→RE→RE→AC,10,true,1,0.02
A,G1,CE,CE→CE→CE→RE→RE→WA→AC,7,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→WA→WA→WA,8,false,1,0.02
A,G1,CE,CE→CE→CE→CE→WA→CE→CE→AC,8,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→AC,14,true,1,0.02
A,G1,CE,CE→CE→RE→WA→RE→CE→RE→RE→AC,9,true,1,0.02
A,G1,CE,CE→WA→CE→WA→WA→WA→CE→CE,8,false,1,0.02
A,G1,CE,CE→CE→CE→WA→WA→WA→WA→WA,8,false,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→RE,9,false,1,0.02
A,G1,CE,CE→CE→WA→RE→RE→AC,6,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→WA→WA→WA→WA→CE→WA,11,false,1,0.02
A,G1,CE,CE→CE→WA→CE→CE→WA→WA,7,false,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→WA→CE→WA→CE→AC,12,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→WA→CE→CE→WA,16,false,1,0.02
A,G1,CE,CE→CE→CE→CE→RE→CE→WA→WA→CE→CE→CE→AC,12,true,1,0.02
A,G1,CE,CE→WA→WA→CE→CE→CE→WA→CE→AC,9,true,1,0.02
A,G1,CE,CE→CE→WA→WA→CE→CE→CE→CE,8,false,1,0.02
A,G1,CE,CE→WA→CE→CE→WA,5,false,1,0.02
A,G1,CE,CE→RE→CE→WA→WA,5,false,1,0.02
A,G1,CE,CE→CE→CE→CE→WA→CE→WA→WA→WA→AC,10,true,1,0.02
A,G1,CE,CE→WA→WA→WA→WA→WA→CE→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA,17,false,1,0.02
A,G1,CE,CE→RE→WA→CE→AC,5,true,1,0.02
A,G1,CE,CE→WA→WA→CE→CE→CE→WA→CE→WA→WA→WA→WA,12,false,1,0.02
A,G1,CE,CE→RE→WA→WA→WA→CE→WA→WA→WA→WA→RE→RE→WA→WA→WA→WA→WA→AC,18,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→WA,6,false,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→WA→WA→CE→CE→AC,17,true,1,0.02
A,G1,CE,CE→CE→WA→CE→WA→WA→WA→WA→AC,9,true,1,0.02
A,G1,CE,CE→WA→WA→WA→WA→WA→CE→CE→CE→CE→AC,11,true,1,0.02
A,G1,CE,CE→RE→RE→RE→WA→AC,6,true,1,0.02
A,G1,CE,CE→CE→WA→CE→WA→WA→CE→AC,8,true,1,0.02
A,G1,CE,CE→RE→WA→WA→RE→AC,6,true,1,0.02
A,G1,CE,CE→WA→CE→WA→WA→CE→CE→AC,8,true,1,0.02
A,G1,CE,CE→WA→WA→WA→WA→WA→CE→CE→WA→WA→WA→CE→WA→WA→CE→CE→CE→WA→AC,19,true,1,0.02
A,G1,CE,CE→CE→CE→CE→WA→WA→WA→CE→WA→WA→CE→CE→WA→WA→WA→CE→WA→CE→WA→WA→CE→WA→WA→WA→AC,25,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→WA,8,false,1,0.02
A,G1,CE,CE→CE→CE→WA→CE→CE→CE→CE→CE→CE→CE→TLE→CE→TLE→AC,15,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→WA→WA→WA→WA→WA→WA→WA,13,false,1,0.02
A,G1,CE,CE→WA→WA→WA→CE→WA→WA→CE→RE→WA→CE→AC,12,true,1,0.02
A,G1,CE,CE→CE→WA→TLE→WA→CE→AC,7,true,1,0.02
A,G1,CE,CE→CE→WA→CE→CE→CE→WA→WA→WA→WA→WA→CE→WA→WA→WA→WA→CE→CE→WA→WA→WA→WA→CE→WA→WA→WA→WA→CE→CE→WA→CE→CE→CE→CE→WA→WA→WA→WA→WA→WA→CE→CE→CE→AC,44,true,1,0.02
A,G1,CE,CE→CE→WA→WA→WA→CE→CE→CE→CE→CE→CE→WA→WA→CE→CE→AC,16,true,1,0.02
A,G1,CE,CE→CE→WA→WA→WA→WA→WA→CE→WA→WA→WA→WA→AC,13,true,1,0.02
A,G1,CE,CE→RE→WA→WA→RE→CE→WA→RE→RE→AC,10,true,1,0.02
A,G1,CE,CE→CE→TLE→WA→WA→AC,6,true,1,0.02
A,G1,CE,CE→WA→CE→CE→CE→CE→CE→CE→CE→AC,10,true,1,0.02
A,G1,CE,CE→CE→CE→CE→RE→CE→WA→AC,8,true,1,0.02
A,G1,CE,CE→CE→WA→CE→WA→WA→WA→WA→WA→AC,10,true,1,0.02
A,G1,CE,CE→CE→WA→WA→WA→WA→CE→CE→CE→CE→CE→RE→WA→CE→CE→CE→AC,17,true,1,0.02
A,G1,CE,CE→CE→CE→WA→WA→WA→CE→RE→RE→WA→WA→WA→WA→AC,14,true,1,0.02
A,G1,CE,CE→WA→CE→WA→WA→WA→WA→WA→WA→WA→WA→WA→CE→WA→AC,15,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→RE→CE→CE→CE→AC,13,true,1,0.02
A,G1,CE,CE→WA→WA→CE→WA→WA→WA,7,false,1,0.02
A,G1,CE,CE→CE→WA→WA→WA→WA→WA→CE→WA→WA→WA→WA→WA→WA→CE→WA→WA,17,false,1,0.02
A,G1,CE,CE→WA→WA→WA→WA→WA→WA→WA→RE→CE→RE→RE→CE→RE→RE→RE→WA→AC,18,true,1,0.02
A,G1,CE,CE→WA→WA→CE→WA→CE→CE→WA→WA→WA→WA→WA,12,false,1,0.02
A,G1,CE,CE→CE→CE→CE→RE→CE→RE→RE→RE→WA→RE→CE→CE→CE→CE→AC,16,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→RE→WA→WA→WA→WA→AC,18,true,1,0.02
A,G1,CE,CE→CE→WA→RE→WA→CE→AC,7,true,1,0.02
A,G1,CE,CE→WA→RE→RE→CE→RE→RE→WA→CE→WA,10,false,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→RE→RE→CE→CE→RE→WA→AC,13,true,1,0.02
A,G1,CE,CE→CE→CE→WA→WA→WA→CE→WA→WA→CE→CE→CE→CE→CE→CE→RE→AC,17,true,1,0.02
A,G1,CE,CE→Other→WA→WA→AC,5,true,1,0.02
A,G1,CE,CE→RE→RE→RE→RE→RE,6,false,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→WA→WA→WA→AC,11,true,1,0.02
A,G1,CE,CE→CE→CE→CE→WA→WA→WA→WA→WA→WA→WA→CE→WA→WA→WA→AC,16,true,1,0.02
A,G1,CE,CE→CE→CE→WA→WA→CE,6,false,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→WA→CE→AC,8,true,1,0.02
A,G1,CE,CE→WA→CE→TLE→WA→WA,6,false,1,0.02
A,G1,CE,CE→WA→WA→CE→WA→WA→WA→WA→WA→WA→WA→CE→WA→AC,14,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→WA→CE→CE→CE→WA→WA→WA→WA→CE,21,false,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→WA→WA→CE→WA→WA→WA,11,false,1,0.02
A,G1,CE,CE→WA→WA→WA→WA→CE→WA→WA→CE→WA,10,false,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE,21,false,1,0.02
A,G1,CE,CE→WA→WA→WA→WA→WA→WA→CE→WA→WA→RE→RE→RE→RE→AC,15,true,1,0.02
A,G1,CE,CE→CE→WA→WA→WA→WA→WA→WA→CE→CE→CE→WA→WA→CE→WA→AC,16,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→WA→CE→WA→WA→AC,13,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→WA→CE→CE,13,false,1,0.02
A,G1,CE,CE→CE→CE→CE→WA→WA→WA,7,false,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→WA→WA→WA→WA→WA→WA→WA→WA→WA→AC,16,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→RE→WA→AC,10,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→RE→RE→RE→CE→WA→WA→WA→WA→WA→WA,15,false,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→WA→WA→CE→WA→AC,11,true,1,0.02
A,G1,CE,CE→CE→CE→WA→WA→CE→CE→CE→WA→RE→CE→CE→CE→WA→CE→CE,16,false,1,0.02
A,G1,CE,CE→WA→WA→WA→WA→WA→WA→WA→WA,9,false,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→RE→RE→AC,8,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→WA→CE→AC,9,true,1,0.02
A,G1,CE,CE→CE→WA→WA→WA→WA→WA,7,false,1,0.02
A,G1,CE,CE→CE→CE→CE→RE→RE→CE→RE→RE→CE→RE→RE→CE→AC,14,true,1,0.02
A,G1,CE,CE→CE→CE→CE→WA→CE→WA→WA→AC,9,true,1,0.02
A,G1,CE,CE→RE→CE→RE→CE→CE→WA→WA→WA→AC,10,true,1,0.02
A,G1,CE,CE→CE→CE→RE→CE→RE→CE→CE→CE→WA→AC,11,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→WA→WA→AC,10,true,1,0.02
A,G1,CE,CE→CE→RE→WA→RE→WA→WA→AC,8,true,1,0.02
A,G1,CE,CE→CE→CE→WA→WA→WA→WA→WA→WA,9,false,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→WA→WA→WA→CE→RE→RE→WA→CE→CE→CE→CE,20,false,1,0.02
A,G1,CE,CE→CE→RE→RE→RE→RE→RE→WA,8,false,1,0.02
A,G1,CE,CE→WA→WA→CE→WA→WA→WA→WA→AC,9,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→WA→CE→WA→AC,14,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→WA→WA→AC,11,true,1,0.02
A,G1,CE,CE→WA→CE→WA→CE→WA→WA→WA→WA,9,false,1,0.02
A,G1,CE,CE→WA→CE→WA→WA→WA→WA→CE→CE→WA,10,false,1,0.02
A,G1,CE,CE→CE→CE→CE→WA→WA→WA→CE→CE→AC,10,true,1,0.02
A,G1,CE,CE→WA→WA→WA→WA→WA→WA,7,false,1,0.02
A,G1,CE,CE→RE→RE→RE→AC,5,true,1,0.02
A,G1,CE,CE→CE→CE→WA→CE,5,false,1,0.02
A,G1,CE,CE→WA→CE→WA→WA→CE→WA,7,false,1,0.02
A,G1,CE,CE→CE→WA→CE→CE→CE→CE→WA→WA→WA→WA→AC,12,true,1,0.02
A,G1,CE,CE→WA→WA→CE→WA→WA→CE,7,false,1,0.02
A,G1,CE,CE→WA→CE→RE→RE→WA→CE→WA→AC,9,true,1,0.02
A,G1,CE,CE→WA→WA→WA→CE→WA→CE→WA→AC,9,true,1,0.02
A,G1,CE,CE→CE→WA→WA→WA→WA→CE→CE→CE→AC,10,true,1,0.02
A,G1,CE,CE→WA→WA→WA→WA→CE→WA→WA→CE→AC,10,true,1,0.02
A,G1,CE,CE→WA→CE→CE→CE→CE→WA→AC,8,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→WA→AC,12,true,1,0.02
A,G1,CE,CE→WA→RE→WA→RE→WA→WA→WA→WA→WA→WA→AC,12,true,1,0.02
A,G1,CE,CE→CE→WA→WA→WA→CE→WA,7,false,1,0.02
A,G1,CE,CE→CE→CE→CE→WA→WA→WA→CE→WA→CE→CE→WA→CE→WA→WA,15,false,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→WA→WA→WA→CE→WA→AC,16,true,1,0.02
A,G1,CE,CE→WA→WA→CE→CE→CE→CE→WA→CE→AC,10,true,1,0.02
A,G1,CE,CE→CE→WA→CE→CE→CE→WA→CE→WA→WA,10,false,1,0.02
A,G1,CE,CE→CE→WA→WA→WA→WA→WA→WA→RE→RE→AC,11,true,1,0.02
A,G1,CE,CE→CE→RE→RE,4,false,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→TLE→TLE→CE→CE→CE→CE→CE→TLE→TLE→TLE→TLE→CE→TLE→CE→TLE→TLE→TLE→CE→CE→CE→CE→CE→CE→TLE→TLE→WA→WA→WA→CE→WA→WA→WA→CE→WA→WA→WA→AC,47,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→WA→RE→WA→WA→WA→WA→CE→AC,14,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→WA→WA→WA→WA→WA→CE→CE→WA→AC,15,true,1,0.02
A,G1,CE,CE→WA→CE→WA→CE→WA,6,false,1,0.02
A,G1,CE,CE→CE→RE→RE→RE→RE→RE→RE→CE→CE→RE→RE→RE→RE→RE→RE→RE→AC,18,true,1,0.02
A,G1,CE,CE→CE→CE→CE→RE→RE→AC,7,true,1,0.02
A,G1,CE,CE→WA→CE→CE→WA→WA→WA,7,false,1,0.02
A,G1,CE,CE→WA→WA→WA→WA→RE→AC,7,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→WA→WA→WA→WA→WA,10,false,1,0.02
A,G1,CE,CE→WA→CE→CE→CE→CE→CE→AC,8,true,1,0.02
A,G1,CE,CE→TLE→TLE→TLE→WA→WA→WA→WA→WA→WA→WA→AC,12,true,1,0.02
A,G1,CE,CE→WA→WA→CE→WA→WA→WA→CE→CE→AC,10,true,1,0.02
A,G1,CE,CE→RE→RE→RE→CE→WA→AC,7,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→WA→WA→WA→CE→CE→CE,12,false,1,0.02
A,G1,CE,CE→CE→WA→RE→CE→CE→AC,7,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→CE→RE→CE→RE→RE→AC,19,true,1,0.02
A,G1,CE,CE→WA→WA→CE→WA→WA,6,false,1,0.02
A,G1,CE,CE→CE→CE→CE→WA→CE→CE,7,false,1,0.02
A,G1,CE,CE→RE→RE→CE→AC,5,true,1,0.02
A,G1,CE,CE→CE→WA→WA→WA→RE→AC,7,true,1,0.02
A,G1,CE,CE→CE→WA→CE→CE→WA→CE,7,false,1,0.02
A,G1,CE,CE→CE→CE→WA→CE→CE→CE,7,false,1,0.02
A,G1,CE,CE→CE→WA→WA→WA→WA→WA→WA→AC,9,true,1,0.02
A,G1,CE,CE→CE→CE→CE→WA→WA→WA→WA→WA→WA→WA,11,false,1,0.02
A,G1,CE,CE→CE→CE→WA→WA→WA→CE→WA→WA→WA→WA→AC,12,true,1,0.02
A,G1,CE,CE→WA→WA→CE→WA→WA→CE→WA→CE→CE,10,false,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→WA→CE→CE→WA→CE→CE→AC,15,true,1,0.02
A,G1,CE,CE→WA→CE→WA→CE→WA→CE→AC,8,true,1,0.02
A,G1,CE,CE→WA→CE→WA→WA→WA→WA→WA,8,false,1,0.02
A,G1,CE,CE→CE→RE→RE→CE→WA→CE→AC,8,true,1,0.02
A,G1,CE,CE→CE→CE→CE→CE→WA→WA→WA→WA→AC,10,true,1,0.02
A,G1,CE,CE→CE→CE→WA→CE→CE→CE→CE→CE→CE→WA→CE→WA→WA→CE→WA→WA→AC,18,true,1,0.02
A,G1,CE,CE→RE→WA→RE→AC,5,true,1,0.02
