problem_id,contest,difficulty,name,dataset,time_limit,memory_limit,rating,tags,complexity,score
p03862,AtCoder Beginner Contest 048,C,AtCoder Beginner Contest 048 - Boxes and Candies,AtCoder,2000,262144,,,,300
p03863,AtCoder Beginner Contest 048,D,AtCoder Beginner Contest 048 - An Ordinary Game,AtCoder,2000,262144,,,,500
p03852,AtCoder Beginner Contest 049,A,AtCoder Beginner Contest 049 - UOIAUAI,AtCoder,2000,262144,,,,100
p03853,AtCoder Beginner Contest 049,B,AtCoder Beginner Contest 049 - Thin,AtCoder,2000,262144,,,,200
p03854,AtCoder Beginner Contest 049,C,AtCoder Beginner Contest 049 - Daydream,AtCoder,2000,262144,,,,300
p03855,AtCoder Beginner Contest 049,D,AtCoder Beginner Contest 049 - Connectivity,AtCoder,2000,262144,,,,400
p03844,AtCoder Beginner Contest 050,A,AtCoder Beginner Contest 050 - Addition and Subtraction Easy,AtCoder,2000,262144,,,,100
p03845,AtCoder Beginner Contest 050,B,AtCoder Beginner Contest 050 - Contest with Drinks Easy,AtCoder,2000,262144,,,,200
p03846,AtCoder Beginner Contest 050,C,AtCoder Beginner Contest 050 - Lining Up,AtCoder,2000,262144,,,,300
p03847,AtCoder Beginner Contest 050,D,AtCoder Beginner Contest 050 - Xor Sum,AtCoder,2000,262144,,,,600
p03834,AtCoder Beginner Contest 051,A,AtCoder Beginner Contest 051 - Haiku,AtCoder,2000,262144,,,,100
p03835,AtCoder Beginner Contest 051,B,AtCoder Beginner Contest 051 - Sum of Three Integers,AtCoder,2000,262144,,,,200
p03836,AtCoder Beginner Contest 051,C,AtCoder Beginner Contest 051 - Back and Forth,AtCoder,2000,262144,,,,300
p03837,AtCoder Beginner Contest 051,D,AtCoder Beginner Contest 051 - Candidates of No Shortest Paths,AtCoder,2000,262144,,,,400
p03826,AtCoder Beginner Contest 052,A,AtCoder Beginner Contest 052 - Two Rectangles,AtCoder,2000,262144,,,,100
p03827,AtCoder Beginner Contest 052,B,AtCoder Beginner Contest 052 - Increment Decrement,AtCoder,2000,262144,,,,200
p03828,AtCoder Beginner Contest 052,C,AtCoder Beginner Contest 052 - Factors of Factorial,AtCoder,2000,262144,,,,300
p03829,AtCoder Beginner Contest 052,D,AtCoder Beginner Contest 052 - Walk and Teleport,AtCoder,2000,262144,,,,500
p03813,AtCoder Beginner Contest 053,A,AtCoder Beginner Contest 053 - ABC/ARC,AtCoder,2000,262144,,,,100
p03814,AtCoder Beginner Contest 053,B,AtCoder Beginner Contest 053 - A to Z String,AtCoder,2000,262144,,,,200
p03815,AtCoder Beginner Contest 053,C,AtCoder Beginner Contest 053 - X: Yet Another Die Game,AtCoder,2000,262144,,,,300
p03816,AtCoder Beginner Contest 053,D,AtCoder Beginner Contest 053 - Card Eater,AtCoder,2000,262144,,,,400
p03803,AtCoder Beginner Contest 054,A,AtCoder Beginner Contest 054 - One Card Poker,AtCoder,2000,262144,,,,100
p03804,AtCoder Beginner Contest 054,B,AtCoder Beginner Contest 054 - Template Matching,AtCoder,2000,262144,,,,200
p03805,AtCoder Beginner Contest 054,C,AtCoder Beginner Contest 054 - One-stroke Path,AtCoder,2000,262144,,,,300
p03806,AtCoder Beginner Contest 054,D,AtCoder Beginner Contest 054 - Mixing Experiment,AtCoder,2000,262144,,,,400
p03795,AtCoder Beginner Contest 055,A,AtCoder Beginner Contest 055 - Restaurant,AtCoder,2000,262144,,,,100
p03796,AtCoder Beginner Contest 055,B,AtCoder Beginner Contest 055 - Training Camp,AtCoder,2000,262144,,,,200
p03797,AtCoder Beginner Contest 055,C,AtCoder Beginner Contest 055 - Scc Puzzle,AtCoder,2000,262144,,,,300
p03798,AtCoder Beginner Contest 055,D,AtCoder Beginner Contest 055 - Menagerie,AtCoder,2000,262144,,,,500
p03777,AtCoder Beginner Contest 056,A,AtCoder Beginner Contest 056 - HonestOrDishonest,AtCoder,2000,262144,,,,100
p03778,AtCoder Beginner Contest 056,B,AtCoder Beginner Contest 056 - NarrowRectanglesEasy,AtCoder,2000,262144,,,,200
p03779,AtCoder Beginner Contest 056,C,AtCoder Beginner Contest 056 - Go Home,AtCoder,2000,262144,,,,200
p03780,AtCoder Beginner Contest 056,D,AtCoder Beginner Contest 056 - No Need,AtCoder,2000,262144,,,,600
p03773,AtCoder Beginner Contest 057,A,AtCoder Beginner Contest 057 - Remaining Time,AtCoder,2000,262144,,,,100
p03774,AtCoder Beginner Contest 057,B,AtCoder Beginner Contest 057 - Checkpoints,AtCoder,2000,262144,,,,200
p03775,AtCoder Beginner Contest 057,C,AtCoder Beginner Contest 057 - Digits in Multiplication,AtCoder,2000,262144,,,,300
p03776,AtCoder Beginner Contest 057,D,AtCoder Beginner Contest 057 - Maximum Average Sets,AtCoder,2000,262144,,,,400
p03759,AtCoder Beginner Contest 058,A,AtCoder Beginner Contest 058 - ι⊥l,AtCoder,2000,262144,,,,100
p03760,AtCoder Beginner Contest 058,B,AtCoder Beginner Contest 058 - ∵∴∵,AtCoder,2000,262144,,,,200
p03761,AtCoder Beginner Contest 058,C,AtCoder Beginner Contest 058 - Dubious Document,AtCoder,2000,262144,,,,300
p03762,AtCoder Beginner Contest 058,D,AtCoder Beginner Contest 058 - ###,AtCoder,2000,262144,,,,500
p03737,AtCoder Beginner Contest 059,A,AtCoder Beginner Contest 059 - Three-letter acronym,AtCoder,2000,262144,,,,100
p03738,AtCoder Beginner Contest 059,B,AtCoder Beginner Contest 059 - Comparison,AtCoder,2000,262144,,,,200
p03739,AtCoder Beginner Contest 059,C,AtCoder Beginner Contest 059 - Sequence,AtCoder,2000,262144,,,,300
p03740,AtCoder Beginner Contest 059,D,AtCoder Beginner Contest 059 - Alice&Brown,AtCoder,2000,262144,,,,500
p03729,AtCoder Beginner Contest 060,A,AtCoder Beginner Contest 060 - Shiritori,AtCoder,2000,262144,,,,100
p03730,AtCoder Beginner Contest 060,B,AtCoder Beginner Contest 060 - Choose Integers,AtCoder,2000,262144,,,,200
p03731,AtCoder Beginner Contest 060,C,AtCoder Beginner Contest 060 - Sentou,AtCoder,2000,262144,,,,300
p03732,AtCoder Beginner Contest 060,D,AtCoder Beginner Contest 060 - Simple Knapsack,AtCoder,2000,262144,,,,400
p03719,AtCoder Beginner Contest 061,A,AtCoder Beginner Contest 061 - Between Two Integers,AtCoder,2000,262144,,,,100
p03720,AtCoder Beginner Contest 061,B,AtCoder Beginner Contest 061 - Counting Roads,AtCoder,2000,262144,,,,200
p03721,AtCoder Beginner Contest 061,C,AtCoder Beginner Contest 061 - Big Array,AtCoder,2000,262144,,,,300
p03722,AtCoder Beginner Contest 061,D,AtCoder Beginner Contest 061 - Score Attack,AtCoder,2000,262144,,,,400
p03711,AtCoder Beginner Contest 062,A,AtCoder Beginner Contest 062 - Grouping,AtCoder,2000,262144,,,,100
p03712,AtCoder Beginner Contest 062,B,AtCoder Beginner Contest 062 - Picture Frame,AtCoder,2000,262144,,,,200
p03713,AtCoder Beginner Contest 062,C,AtCoder Beginner Contest 062 - Chocolate Bar,AtCoder,2000,262144,,,,400
p03714,AtCoder Beginner Contest 062,D,AtCoder Beginner Contest 062 - 3N Numbers,AtCoder,2000,262144,,,,500
p03697,AtCoder Beginner Contest 063,A,AtCoder Beginner Contest 063 - Restricted,AtCoder,2000,262144,,,,100
p03698,AtCoder Beginner Contest 063,B,AtCoder Beginner Contest 063 - Varied,AtCoder,2000,262144,,,,200
p03699,AtCoder Beginner Contest 063,C,AtCoder Beginner Contest 063 - Bugged,AtCoder,2000,262144,,,,300
p03700,AtCoder Beginner Contest 063,D,AtCoder Beginner Contest 063 - Widespread,AtCoder,2000,262144,,,,400
p03693,AtCoder Beginner Contest 064,A,AtCoder Beginner Contest 064 - RGB Cards,AtCoder,2000,262144,,,,100
p03694,AtCoder Beginner Contest 064,B,AtCoder Beginner Contest 064 - Traveling AtCoDeer Problem,AtCoder,2000,262144,,,,200
p03695,AtCoder Beginner Contest 064,C,AtCoder Beginner Contest 064 - Colorful Leaderboard,AtCoder,2000,262144,,,,300
p03696,AtCoder Beginner Contest 064,D,AtCoder Beginner Contest 064 - Insertion,AtCoder,2000,262144,,,,400
p03679,AtCoder Beginner Contest 065,A,AtCoder Beginner Contest 065 - Expired?,AtCoder,2000,262144,,,,100
p03680,AtCoder Beginner Contest 065,B,AtCoder Beginner Contest 065 - Trained?,AtCoder,2000,262144,,,,200
p03681,AtCoder Beginner Contest 065,C,AtCoder Beginner Contest 065 - Reconciled?,AtCoder,2000,262144,,,,300
p03682,AtCoder Beginner Contest 065,D,AtCoder Beginner Contest 065 - Built?,AtCoder,2000,262144,,,,500
p03671,AtCoder Beginner Contest 066,A,AtCoder Beginner Contest 066 - ringring,AtCoder,2000,262144,,,,100
p03672,AtCoder Beginner Contest 066,B,AtCoder Beginner Contest 066 - ss,AtCoder,2000,262144,,,,200
p03673,AtCoder Beginner Contest 066,C,AtCoder Beginner Contest 066 - pushpush,AtCoder,2000,262144,,,,300
p03674,AtCoder Beginner Contest 066,D,AtCoder Beginner Contest 066 - 11,AtCoder,2000,262144,,,,600
p03657,AtCoder Beginner Contest 067,A,AtCoder Beginner Contest 067 - Sharing Cookies,AtCoder,2000,262144,,,,100
p03658,AtCoder Beginner Contest 067,B,AtCoder Beginner Contest 067 - Snake Toy,AtCoder,2000,262144,,,,200
p03659,AtCoder Beginner Contest 067,C,AtCoder Beginner Contest 067 - Splitting Pile,AtCoder,2000,262144,,,,300
p03660,AtCoder Beginner Contest 067,D,AtCoder Beginner Contest 067 - Fennec VS. Snuke,AtCoder,2000,262144,,,,400
p03643,AtCoder Beginner Contest 068,A,AtCoder Beginner Contest 068 - ABCxxx,AtCoder,2000,262144,,,,100
p03644,AtCoder Beginner Contest 068,B,AtCoder Beginner Contest 068 - Break Number,AtCoder,2000,262144,,,,200
p03645,AtCoder Beginner Contest 068,C,AtCoder Beginner Contest 068 - Cat Snuke and a Voyage,AtCoder,2000,262144,,,,300
p03646,AtCoder Beginner Contest 068,D,AtCoder Beginner Contest 068 - Decrease (Contestant ver.),AtCoder,2000,262144,,,,600
p03635,AtCoder Beginner Contest 069,A,AtCoder Beginner Contest 069 - K-City,AtCoder,2000,262144,,,,100
p03636,AtCoder Beginner Contest 069,B,AtCoder Beginner Contest 069 - i18n,AtCoder,2000,262144,,,,200
p03637,AtCoder Beginner Contest 069,C,AtCoder Beginner Contest 069 - 4-adjacent,AtCoder,2000,262144,,,,400
p03638,AtCoder Beginner Contest 069,D,AtCoder Beginner Contest 069 - Grid Coloring,AtCoder,2000,262144,,,,400
p03631,AtCoder Beginner Contest 070,A,AtCoder Beginner Contest 070 - Palindromic Number,AtCoder,2000,262144,,,,100
p03632,AtCoder Beginner Contest 070,B,AtCoder Beginner Contest 070 - Two Switches,AtCoder,2000,262144,,,,200
p03633,AtCoder Beginner Contest 070,C,AtCoder Beginner Contest 070 - Multiple Clocks,AtCoder,2000,262144,,,,300
p03634,AtCoder Beginner Contest 070,D,AtCoder Beginner Contest 070 - Transit Tree Path,AtCoder,2000,262144,,,,400
p03623,AtCoder Beginner Contest 071,A,AtCoder Beginner Contest 071 - Meal Delivery,AtCoder,2000,262144,,,,100
p03624,AtCoder Beginner Contest 071,B,AtCoder Beginner Contest 071 - Not Found,AtCoder,2000,262144,,,,200
p03625,AtCoder Beginner Contest 071,C,AtCoder Beginner Contest 071 - Make a Rectangle,AtCoder,2000,262144,,,,300
p03626,AtCoder Beginner Contest 071,D,AtCoder Beginner Contest 071 - Coloring Dominoes,AtCoder,2000,262144,,,,400
p03609,AtCoder Beginner Contest 072,A,AtCoder Beginner Contest 072 - Sandglass2,AtCoder,2000,262144,,,,100
p03610,AtCoder Beginner Contest 072,B,AtCoder Beginner Contest 072 - OddString,AtCoder,2000,262144,,,,200
p03611,AtCoder Beginner Contest 072,C,AtCoder Beginner Contest 072 - Together,AtCoder,2000,262144,,,,300
p03612,AtCoder Beginner Contest 072,D,AtCoder Beginner Contest 072 - Derangement,AtCoder,2000,262144,,,,400
p03605,AtCoder Beginner Contest 073,A,AtCoder Beginner Contest 073 - September 9,AtCoder,2000,262144,,,,100
p03606,AtCoder Beginner Contest 073,B,AtCoder Beginner Contest 073 - Theater,AtCoder,2000,262144,,,,200
p03607,AtCoder Beginner Contest 073,C,AtCoder Beginner Contest 073 - Write and Erase,AtCoder,2000,262144,,,,300
p03608,AtCoder Beginner Contest 073,D,AtCoder Beginner Contest 073 - joisino's travel,AtCoder,2000,262144,,,,400
p03597,AtCoder Beginner Contest 074,A,AtCoder Beginner Contest 074 - Bichrome Cells,AtCoder,2000,262144,,,,100
p03598,AtCoder Beginner Contest 074,B,AtCoder Beginner Contest 074 - Collecting Balls (Easy Version),AtCoder,2000,262144,,,,200
p03599,AtCoder Beginner Contest 074,C,AtCoder Beginner Contest 074 - Sugar Water,AtCoder,3000,262144,,,,300
p03600,AtCoder Beginner Contest 074,D,AtCoder Beginner Contest 074 - Restoring Road Network,AtCoder,2000,262144,,,,500
p03573,AtCoder Beginner Contest 075,A,AtCoder Beginner Contest 075 - One out of Three,AtCoder,2000,262144,,,,100
p03574,AtCoder Beginner Contest 075,B,AtCoder Beginner Contest 075 - Minesweeper,AtCoder,2000,262144,,,,200
p03575,AtCoder Beginner Contest 075,C,AtCoder Beginner Contest 075 - Bridge,AtCoder,2000,262144,,,,300
p03576,AtCoder Beginner Contest 075,D,AtCoder Beginner Contest 075 - Axis-Parallel Rectangle,AtCoder,2000,262144,,,,400
p03563,AtCoder Beginner Contest 076,A,AtCoder Beginner Contest 076 - Rating Goal,AtCoder,2000,262144,,,,100
p03564,AtCoder Beginner Contest 076,B,AtCoder Beginner Contest 076 - Addition and Multiplication,AtCoder,2000,262144,,,,200
p03565,AtCoder Beginner Contest 076,C,AtCoder Beginner Contest 076 - Dubious Document 2,AtCoder,2000,262144,,,,300
p03566,AtCoder Beginner Contest 076,D,AtCoder Beginner Contest 076 - AtCoder Express,AtCoder,2000,262144,,,,400
p03555,AtCoder Beginner Contest 077,A,AtCoder Beginner Contest 077 - Rotation,AtCoder,2000,262144,,,,100
p03556,AtCoder Beginner Contest 077,B,AtCoder Beginner Contest 077 - Around Square,AtCoder,2000,262144,,,,200
p03557,AtCoder Beginner Contest 077,C,AtCoder Beginner Contest 077 - Snuke Festival,AtCoder,2000,262144,,,,300
p03558,AtCoder Beginner Contest 077,D,AtCoder Beginner Contest 077 - Small Multiple,AtCoder,2000,262144,,,,700
p03547,AtCoder Beginner Contest 078,A,AtCoder Beginner Contest 078 - HEX,AtCoder,2000,262144,,,,100
p03548,AtCoder Beginner Contest 078,B,AtCoder Beginner Contest 078 - ISU,AtCoder,2000,262144,,,,200
p03549,AtCoder Beginner Contest 078,C,AtCoder Beginner Contest 078 - HSI,AtCoder,2000,262144,,,,300
p03550,AtCoder Beginner Contest 078,D,AtCoder Beginner Contest 078 - ABS,AtCoder,2000,262144,,,,500
p03543,AtCoder Beginner Contest 079,A,AtCoder Beginner Contest 079 - Good Integer,AtCoder,2000,262144,,,,100
p03544,AtCoder Beginner Contest 079,B,AtCoder Beginner Contest 079 - Lucas Number,AtCoder,2000,262144,,,,200
p03545,AtCoder Beginner Contest 079,C,AtCoder Beginner Contest 079 - Train Ticket,AtCoder,2000,262144,,,,300
p03546,AtCoder Beginner Contest 079,D,AtCoder Beginner Contest 079 - Wall,AtCoder,2000,262144,,,,400
p03501,AtCoder Beginner Contest 080,A,AtCoder Beginner Contest 080 - Parking,AtCoder,2000,262144,,,,100
p03502,AtCoder Beginner Contest 080,B,AtCoder Beginner Contest 080 - Harshad Number,AtCoder,2000,262144,,,,200
p03503,AtCoder Beginner Contest 080,C,AtCoder Beginner Contest 080 - Shopping Street,AtCoder,2000,262144,,,,300
p03504,AtCoder Beginner Contest 080,D,AtCoder Beginner Contest 080 - Recording,AtCoder,2000,262144,,,,400
p03493,AtCoder Beginner Contest 081,A,AtCoder Beginner Contest 081 - Placing Marbles,AtCoder,2000,262144,,,,100
p03494,AtCoder Beginner Contest 081,B,AtCoder Beginner Contest 081 - Shift only,AtCoder,2000,262144,,,,200
p03495,AtCoder Beginner Contest 081,C,AtCoder Beginner Contest 081 - Not so Diverse,AtCoder,2000,262144,,,,300
p03496,AtCoder Beginner Contest 081,D,AtCoder Beginner Contest 081 - Non-decreasing,AtCoder,2000,262144,,,,600
p03485,AtCoder Beginner Contest 082,A,AtCoder Beginner Contest 082 - Round Up the Mean,AtCoder,2000,262144,,,,100
p03486,AtCoder Beginner Contest 082,B,AtCoder Beginner Contest 082 - Two Anagrams,AtCoder,2000,262144,,,,200
p03487,AtCoder Beginner Contest 082,C,AtCoder Beginner Contest 082 - Good Sequence,AtCoder,2000,262144,,,,300
p03488,AtCoder Beginner Contest 082,D,AtCoder Beginner Contest 082 - FT Robot,AtCoder,2000,524288,,,,500
p03477,AtCoder Beginner Contest 083,A,AtCoder Beginner Contest 083 - Libra,AtCoder,2000,262144,,,,100
p03478,AtCoder Beginner Contest 083,B,AtCoder Beginner Contest 083 - Some Sums,AtCoder,2000,262144,,,,200
p03479,AtCoder Beginner Contest 083,C,AtCoder Beginner Contest 083 - Multiple Gift,AtCoder,2000,262144,,,,300
p03480,AtCoder Beginner Contest 083,D,AtCoder Beginner Contest 083 - Wide Flip,AtCoder,2000,262144,,,,500
p03473,AtCoder Beginner Contest 084,A,AtCoder Beginner Contest 084 - New Year,AtCoder,2000,262144,,,,100
p03474,AtCoder Beginner Contest 084,B,AtCoder Beginner Contest 084 - Postal Code,AtCoder,2000,262144,,,,200
p03475,AtCoder Beginner Contest 084,C,AtCoder Beginner Contest 084 - Special Trains,AtCoder,3000,262144,,,,300
p03476,AtCoder Beginner Contest 084,D,AtCoder Beginner Contest 084 - 2017-like Number,AtCoder,2000,262144,,,,400
p03469,AtCoder Beginner Contest 085,A,AtCoder Beginner Contest 085 - Already 2018,AtCoder,2000,262144,,,,100
p03470,AtCoder Beginner Contest 085,B,AtCoder Beginner Contest 085 - Kagami Mochi,AtCoder,2000,262144,,,,200
p03471,AtCoder Beginner Contest 085,C,AtCoder Beginner Contest 085 - Otoshidama,AtCoder,2000,262144,,,,300
p03472,AtCoder Beginner Contest 085,D,AtCoder Beginner Contest 085 - Katana Thrower,AtCoder,2000,262144,,,,400
p03455,AtCoder Beginner Contest 086,A,AtCoder Beginner Contest 086 - Product,AtCoder,2000,262144,,,,100
p03456,AtCoder Beginner Contest 086,B,AtCoder Beginner Contest 086 - 1 21,AtCoder,2000,262144,,,,200
p03457,AtCoder Beginner Contest 086,C,AtCoder Beginner Contest 086 - Traveling,AtCoder,2000,262144,,,,300
p03458,AtCoder Beginner Contest 086,D,AtCoder Beginner Contest 086 - Checker,AtCoder,2000,262144,,,,500
p03447,AtCoder Beginner Contest 087,A,AtCoder Beginner Contest 087 - Buying Sweets,AtCoder,2000,262144,,,,100
p03448,AtCoder Beginner Contest 087,B,AtCoder Beginner Contest 087 - Coins,AtCoder,2000,262144,,,,200
p03449,AtCoder Beginner Contest 087,C,AtCoder Beginner Contest 087 - Candies,AtCoder,2000,262144,,,,300
p03450,AtCoder Beginner Contest 087,D,AtCoder Beginner Contest 087 - People on a Line,AtCoder,2000,262144,,,,400
p03433,AtCoder Beginner Contest 088,A,AtCoder Beginner Contest 088 - Infinite Coins,AtCoder,2000,262144,,,,100
p03434,AtCoder Beginner Contest 088,B,AtCoder Beginner Contest 088 - Card Game for Two,AtCoder,2000,262144,,,,200
p03435,AtCoder Beginner Contest 088,C,AtCoder Beginner Contest 088 - Takahashi's Information,AtCoder,2000,262144,,,,300
p03436,AtCoder Beginner Contest 088,D,AtCoder Beginner Contest 088 - Grid Repainting,AtCoder,2000,262144,,,,400
p03423,AtCoder Beginner Contest 089,A,AtCoder Beginner Contest 089 - Grouping 2,AtCoder,2000,262144,,,,100
p03424,AtCoder Beginner Contest 089,B,AtCoder Beginner Contest 089 - Hina Arare,AtCoder,2000,262144,,,,200
p03425,AtCoder Beginner Contest 089,C,AtCoder Beginner Contest 089 - March,AtCoder,2000,262144,,,,300
p03426,AtCoder Beginner Contest 089,D,AtCoder Beginner Contest 089 - Practical Skill Test,AtCoder,2000,262144,,,,400
p03415,AtCoder Beginner Contest 090,A,AtCoder Beginner Contest 090 - Diagonal String,AtCoder,2000,262144,,,,100
p03416,AtCoder Beginner Contest 090,B,AtCoder Beginner Contest 090 - Palindromic Numbers,AtCoder,2000,262144,,,,200
p03417,AtCoder Beginner Contest 090,C,AtCoder Beginner Contest 090 - Flip Flip  and Flip......,AtCoder,2000,262144,,,,300
p03418,AtCoder Beginner Contest 090,D,AtCoder Beginner Contest 090 - Remainder Reminder,AtCoder,2000,262144,,,,400
p03407,AtCoder Beginner Contest 091,A,AtCoder Beginner Contest 091 - Two Coins,AtCoder,2000,262144,,,,100
p03408,AtCoder Beginner Contest 091,B,AtCoder Beginner Contest 091 - Two Colors Card Game,AtCoder,2000,262144,,,,200
p03409,AtCoder Beginner Contest 091,C,AtCoder Beginner Contest 091 - 2D Plane 2N Points,AtCoder,2000,262144,,,,400
p03410,AtCoder Beginner Contest 091,D,AtCoder Beginner Contest 091 - Two Sequences,AtCoder,3000,262144,,,,500
p03399,AtCoder Beginner Contest 092,A,AtCoder Beginner Contest 092 - Traveling Budget,AtCoder,2000,262144,,,,100
p03400,AtCoder Beginner Contest 092,B,AtCoder Beginner Contest 092 - Chocolate,AtCoder,2000,262144,,,,200
p03401,AtCoder Beginner Contest 092,C,AtCoder Beginner Contest 092 - Traveling Plan,AtCoder,2000,262144,,,,300
p03402,AtCoder Beginner Contest 092,D,AtCoder Beginner Contest 092 - Grid Components,AtCoder,2000,262144,,,,500
p03385,AtCoder Beginner Contest 093,A,AtCoder Beginner Contest 093 - abc of ABC,AtCoder,2000,262144,,,,100
p03386,AtCoder Beginner Contest 093,B,AtCoder Beginner Contest 093 - Small and Large Integers,AtCoder,2000,262144,,,,200
p03387,AtCoder Beginner Contest 093,C,AtCoder Beginner Contest 093 - Same Integers,AtCoder,2000,262144,,,,300
p03388,AtCoder Beginner Contest 093,D,AtCoder Beginner Contest 093 - Worst Case,AtCoder,2000,262144,,,,700
p03377,AtCoder Beginner Contest 094,A,AtCoder Beginner Contest 094 - Cats and Dogs,AtCoder,2000,262144,,,,100
p03378,AtCoder Beginner Contest 094,B,AtCoder Beginner Contest 094 - Toll Gates,AtCoder,2000,262144,,,,200
p03379,AtCoder Beginner Contest 094,C,AtCoder Beginner Contest 094 - Many Medians,AtCoder,2000,262144,,,,300
p03380,AtCoder Beginner Contest 094,D,AtCoder Beginner Contest 094 - Binomial Coefficients,AtCoder,2000,262144,,,,400
p03369,AtCoder Beginner Contest 095,A,AtCoder Beginner Contest 095 - Something on It,AtCoder,2000,262144,,,,100
p03370,AtCoder Beginner Contest 095,B,AtCoder Beginner Contest 095 - Bitter Alchemy,AtCoder,2000,262144,,,,200
p03371,AtCoder Beginner Contest 095,C,AtCoder Beginner Contest 095 - Half and Half,AtCoder,2000,262144,,,,300
p03372,AtCoder Beginner Contest 095,D,AtCoder Beginner Contest 095 - Static Sushi,AtCoder,2000,262144,,,,500
p03359,AtCoder Beginner Contest 096,A,AtCoder Beginner Contest 096 - Day of Takahashi,AtCoder,2000,262144,,,,100
p03360,AtCoder Beginner Contest 096,B,AtCoder Beginner Contest 096 - Maximum Sum,AtCoder,2000,262144,,,,200
p03361,AtCoder Beginner Contest 096,C,AtCoder Beginner Contest 096 - Grid Repainting 2,AtCoder,2000,262144,,,,300
p03362,AtCoder Beginner Contest 096,D,AtCoder Beginner Contest 096 - Five  Five Everywhere,AtCoder,2000,262144,,,,400
p03351,AtCoder Beginner Contest 097,A,AtCoder Beginner Contest 097 - Colorful Transceivers,AtCoder,2000,1048576,,,,100
p03352,AtCoder Beginner Contest 097,B,AtCoder Beginner Contest 097 - Exponential,AtCoder,2000,1048576,,,,200
p03353,AtCoder Beginner Contest 097,C,AtCoder Beginner Contest 097 - K-th Substring,AtCoder,2000,1048576,,,,300
p03354,AtCoder Beginner Contest 097,D,AtCoder Beginner Contest 097 - Equals,AtCoder,2000,1048576,,,,400
p03337,AtCoder Beginner Contest 098,A,AtCoder Beginner Contest 098 - Add Sub Mul,AtCoder,2000,1048576,,,,100
